Opération	Division	Description	Designation	Type unité	Type produit	Nombre unité	Statut ADV	N° Lot	Superficie	Prix unitaire	Prix total	Titre foncier	Numéro Client	Client	CIN/RC	Dossier	Type document	Désignation type de document	Création	Vers1	Vers2	Vers3	Total versement	Date livraison	Date contrat	Vers regularis	Trop perçu réglé	Trop perçu non réglé	Reste à payer	Total avances	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-50            	13	9230.77	120000	47311/40            	10622012	Penny Hearsey	Z214423	21229945	ZVL 	Vente libre         	20150728	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-51            	13	17692.31	230000	47312/40            	11074407	Geoffry Woodwing	FA13384	21657230	ZVL 	Vente libre         	20190503	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-148           	14	8571.43	120000	47409/40            	10623126	Haley Strangman	F336754	21235210	ZVL 	Vente libre         	20150211	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-20            	13	9230.77	120000	47281/40            	10623335	Herschel Berthe	F32743	21226012	ZVL 	Vente libre         	20150514	30000	40000	0	70000	0	0	0	0	0	50000	70000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-21            	13	9230.77	120000	47282/40            	10626348	Clive Eagland	F162419	21228816	ZVL 	Vente libre         	20150504	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-23            	13	9230.77	120000	47284/40            	10639365	Devora MacPike	FC8527	21356996	ZVL 	Vente libre         	20150422	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-25            	13	17692.31	230000	47286/40            	11074408	Geoffry Rollings	FA33385	21657231	ZVL 	Vente libre         	20190503	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-29            	13	17692.31	230000	47290/40            	11074409	Jermaine Divers	FA44496	21657232	ZVL 	Vente libre         	20190503	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-31            	13	17692.31	230000	47292/40            	11074410	Gloriane Defraine	FA55607	21657240	ZVL 	Vente libre         	20190503	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-123           	14	8571.43	120000	47384/40            	10624514	Kennedy Woollaston	FA18669	21229285	ZVL 	Vente libre         	20150526	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	3	CC1-91 CAFE       	523	1444.55	755500	47258/40            	10581761	Tatiania Achrameev	S49268	21230509	ZVL 	Vente libre         	20150818	10000	0	0	10000	0	0	0	0	0	745500	10000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC1-34            	16	7500	120000	47206/40            	10625191	Elita Baldung	X338378	21222279	ZVL 	Vente libre         	20150811	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC1-40            	15	8000	120000	47212/40            	10623116	Iolande Jayme	C658569	21212579	ZVL 	Vente libre         	20141127	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	3	CC1-27            	17	7058.82	120000	47199/40            	10625349	Vince Grieve	FA28053	21212500	ZVL 	Vente libre         	20150507	40000	0	0	40000	0	0	0	0	0	80000	40000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-95            	13	9230.77	120000	47356/40            	10621913	Aurilia Guye	FA160457	21226968	ZVL 	Vente libre         	20150724	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-101           	13	9230.77	120000	47362/40            	10626119	Max O'Shiel	FE6418	21227122	ZVL 	Vente libre         	20150807	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-53            	13	17692.31	230000	47314/40            	11074412	Franciskus Bailles	FA77829	21657234	ZVL 	Vente libre         	20190503	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-56            	13	17692.31	230000	47317/40            	10629131	Huberto Hurlin	F612210	21214408	ZVL 	Vente libre         	20150708	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-84            	13	17692.31	230000	47345/40            	11074414	Maighdiln Polkinghorne	FA88940	21657235	ZVL 	Vente libre         	20190503	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	3	CC2-75            	13	21207.77	275701	47336/40            	10581761	Elizabet Mecco	S49268	21226489	ZVL 	Vente libre         	20150818	10000	0	0	10000	0	0	0	0	0	265701	10000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-76            	13	17692.31	230000	47337/40            	11074415	Cornall Alvarez	FA100051	21657236	ZVL 	Vente libre         	20190503	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-17            	13	17692.31	230000	47278/40            	10634690	Petra Fairrie	D527635	21225790	ZVL 	Vente libre         	20160512	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC1-80            	16	7500	120000	47252/40            	10639375	Virgie Campaigne	FE2271	21356989	ZVL 	Vente libre         	20150818	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-12            	13	17692.31	230000	47273/40            	11074416	Windy Esseby	FA52	21657238	ZVL 	Vente libre         	20190503	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-13            	18	12777.78	230000	47274/40            	10634691	Odele Knox	GA12611	21225789	ZVL 	Vente libre         	20160512	50000	0	0	50000	0	0	0	0	0	180000	50000	
180017.01	1802	Berkane                       	1141-ESSALAM ZAIEST 1                   	LOT HABITATION           	LOTS ECONOMIQUES R+2 RDC HABITAT        	1	3	295	110	540	59400	61770/40            	10591018	Lilia Jenton	F158931	21218171	ZVL 	Vente libre         	20120223	29700	0	0	29700	0	0	0	0	0	29700	29700	
180017.01	1802	Berkane                       	1141-ESSALAM ZAIEST 1                   	LOT HABITATION           	LOTS ECONOMIQUES R+2 RDC HABITAT        	1	3	143	100	300	30000	61617/40            	10592857	Imojean Lademann	F77477	21220251	ZVL 	Vente libre         	20050211	10000	0	0	10000	0	0	0	0	0	20000	10000	
180017.01	1802	Berkane                       	1141-ESSALAM ZAIEST 1                   	LOT HABITATION           	LOTS ECONOMIQUES R+2 RDC HABITAT        	1	3	11	117	460	53820	61485/40            	10590633	Eadmund Jubert	FA54178	21218609	ZVL 	Vente libre         	20050218	10000	0	0	10000	0	0	0	0	0	43820	10000	
180017.01	1802	Berkane                       	1141-ESSALAM ZAIEST 1                   	LOT HABITATION           	LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   	1	3	9	189	930	175770	61483/40            	10619917	Ivan Sille	FA117927	21230993	ZVL 	Vente libre         	20120604	70000	52885	0	122885	0	0	0	0	0	52885	122885	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	21	343	850	291550	152394/02           	10618601	Darnell Bullocke	#VALEUR!	U60086    	21226086	ZVL 	Vente libre         	20160113	143640	147060	850	291550	0	0	0	0	0	291550	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	18	200	750	150000	152391/02           	10626997	Jameson Fairham	FL54274	21235345	ZVL 	Vente libre         	20141209	70000	0	0	70000	0	0	0	0	0	80000	70000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	17	200	750	150000	152390/02           	11125016	Shayne Le Grice	F628750	21747162	ZVL 	Vente libre         	20210414	150000	0	0	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	15	200	750	150000	152388/02           	11125726	Krispin Pren	FL29225	21747440	ZVL 	Vente libre         	20210422	150000	0	0	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	14	200	750	150000	152387/02           	11125720	Ashton Dahlback	FL50420	21747439	ZVL 	Vente libre         	20210422	150000	0	0	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	13	200	750	150000	152386/02           	11125736	Alexa Geerling	FL34021	21747441	ZVL 	Vente libre         	20210422	150000	0	0	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	10	200	750	150000	152383/02           	11123899	Francklin Scohier	FL53336	21746596	ZVL 	Vente libre         	20210331	60000	0	0	60000	0	0	0	0	0	90000	60000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	9	200	750	150000	152382/02           	11019604	Mack Sighart	F197485	21613620	ZVL 	Vente libre         	20170921	49000	50000	11000	110000	0	0	0	0	0	40000	110000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	22	342	850	290700	152395/02           	10625078	Hertha Prati	FJ2103	21221564	ZVL 	Vente libre         	20141210	143640	102600	44460	290700	0	0	0	0	0	0	290700	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	42	200	750	150000	152415/02           	10623299	Ari Saller	F192624	21227380	ZVL 	Vente libre         	20141210	55000	0	0	55000	0	0	0	0	0	95000	55000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	41	200	750	150000	152414/02           	10629770	Aharon Scaice	F133868	21221607	ZVL 	Vente libre         	20150217	70000	50000	50000	170000	0	0	0	0	20000	0	170000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	40	200	750	150000	152413/02           	10623275	Burlie MacAdam	FL8732	21231543	ZVL 	Vente libre         	20141209	70000	50000	50000	170000	0	0	0	0	20000	0	170000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	39	200	750	150000	152412/02           	10601432	Adrea Keatch	FL8861	21495463	ZVL 	Vente libre         	20170525	80000	0	0	80000	0	0	0	0	0	70000	80000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	38	200	750	150000	152411/02           	10646764	Maris Deboick	FL29073	21482522	ZVL 	Vente libre         	20160928	75000	75000	0	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	37	200	750	150000	152410/02           	10626498	Violetta Moultrie	F135411	21221575	ZVL 	Vente libre         	20141210	55000	50000	45000	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	36	342	850	290700	152409/02           	10626503	Margo Hammett	UA26602	21217711	ZVL 	Vente libre         	20150310	70000	73640	0	143640	0	0	0	0	0	147060	143640	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	35	342	850	290700	152408/02           	10625928	Dallon Vanni	F317182	21218072	ZVL 	Vente libre         	20150113	143640	60000	0	203640	0	0	0	0	0	87060	203640	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	34	343	800	274400	152407/02           	10624868	Katherine Seldon	FG1808	21229834	ZVL 	Vente libre         	20141218	131670	94050	94050	319770	0	0	0	45370	0	0	319770	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	32	200	750	150000	152405/02           	11118914	Tessy Killingback	FL50075	21743459	ZVL 	Vente libre         	20210122	52500	0	0	52500	0	0	0	0	0	97500	52500	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	31	200	750	150000	152404/02           	10626508	Tawsha Docket	F8768	21227865	ZVL 	Vente libre         	20141204	70000	50000	50000	170000	0	0	0	0	20000	0	170000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	29	200	750	150000	152402/02           	10625420	Mohandis Ellard	FL46555	21221566	ZVL 	Vente libre         	20141201	70000	0	0	70000	0	0	0	0	0	80000	70000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	28	200	750	150000	152401/02           	11118915	Juliana Hillin	FL68702	21743460	ZVL 	Vente libre         	20210122	52500	0	0	52500	0	0	0	0	0	97500	52500	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	27	200	750	150000	152400/02           	11118195	Burton Golling	UC106658	21742942	ZVL 	Vente libre         	20210112	150000	0	0	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	26	200	750	150000	152399/02           	11118662	Essy Mackinder	FL68664	21743387	ZVL 	Vente libre         	20210121	52500	0	0	52500	0	0	0	0	0	97500	52500	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	24	200	750	150000	152397/02           	10623154	Harlin Lillico	FG8002	25004713	ZCD 	Vente conditionnée  	20161014	60000	90000	0	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	23	200	750	150000	152396/02           	11037753	Jordain Benion	FL70558	21625505	ZVL 	Vente libre         	20180328	50000	30000	70000	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	7	200	750	150000	152380/02           	10621941	Mae Yakutin	FL53181	21212544	ZVL 	Vente libre         	20141202	70000	50000	80000	200000	0	0	0	0	50000	0	200000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	6	200	750	150000	152379/02           	10625337	Linnea Belfitt	FG5218	25004714	ZCD 	Vente conditionnée  	20161014	60000	60000	30000	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	5	200	750	150000	152378/02           	10623255	Arturo Sinnie	F139834	25005063	ZCD 	Vente conditionnée  	20161227	50204	50204	49592	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	4	200	750	150000	152377/02           	10648249	Anneliese Sealey	UA98761	21483521	ZVL 	Vente libre         	20161021	75000	20000	0	95000	0	0	0	0	0	55000	95000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	3	200	750	150000	152376/02           	10629788	Shannon Dominey	F23711	21232365	ZVL 	Vente libre         	20150709	50000	50000	0	100000	0	0	0	0	0	50000	100000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	2	374	850	317900	152375/02           	10647110	Gabriello Trimme	F198209	21482784	ZVL 	Vente libre         	20161005	70000	0	0	70000	0	0	0	0	0	247900	70000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	138	300	800	240000	152511/02           	10626506	Link Ellins	FL36630	21235343	ZVL 	Vente libre         	20141204	115500	82500	42000	240000	0	0	0	0	0	0	240000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	137	300	800	240000	152510/02           	10624052	Nevile Cuppleditch	FL34514	21252066	ZVL 	Vente libre         	20141218	115500	82500	0	198000	0	0	0	0	0	42000	198000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	136	200	750	150000	152509/02           	10623303	Wilow Hedges	F197415	21219268	ZVL 	Vente libre         	20150107	70000	50000	80000	200000	0	0	0	50000	0	0	200000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	135	200	750	150000	152508/02           	10626499	Darcee Watts	FL59731	21214326	ZVL 	Vente libre         	20141210	20000	0	0	20000	0	0	0	0	0	130000	20000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	134	200	750	150000	152507/02           	10243121	Ivar Citrine	U143031	21213989	ZVL 	Vente libre         	20141204	70000	130000	0	200000	0	0	0	50000	0	0	200000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	133	200	750	150000	152506/02           	10646661	Gerianna Durand	FL64624	21482442	ZVL 	Vente libre         	20160927	60000	40000	50000	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	132	200	750	150000	152505/02           	10621939	Milka Arzu	FL58584	21221454	ZVL 	Vente libre         	20141202	0	0	0	0	0	0	0	0	0	150000	0	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	2	131	200	750	150000	152504/02           	11028387	Vivian Sokell	FL59491	21619386	ZVL 	Vente libre         	20171228	50000	50000	50000	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	130	200	750	150000	152503/02           	10623301	Berkley Bradley	FL39706	21213131	ZVL 	Vente libre         	20141211	60000	90000	0	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	129	200	750	150000	152502/02           	10624517	Gherardo Kells	FL38344	21239497	ZVL 	Vente libre         	20141202	70000	0	0	70000	0	0	0	0	0	80000	70000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	128	200	750	150000	152501/02           	10635311	Harriet Rosengren	FL22706	21357045	ZVL 	Vente libre         	20150107	70000	0	0	70000	0	0	0	0	0	80000	70000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	127	200	750	150000	152500/02           	10625632	Rebe Jory	FL2752	21221565	ZVL 	Vente libre         	20141202	70000	50000	50000	170000	0	0	0	20000	0	0	170000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	126	200	750	150000	152499/02           	10620819	Coreen Nassi	FL29167	21213986	ZVL 	Vente libre         	20141210	70000	60000	20000	150000	0	0	0	0	0	0	150000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	125	200	750	150000	152498/02           	10624051	Wrennie Grelka	FL14303	21232987	ZVL 	Vente libre         	20141218	70000	0	0	70000	0	0	0	0	0	80000	70000	
180018.01	1804	Jerada-Figuig                 	99501-RYAD BOUARFA                      	LOT HABITATION           	LOTS PROMOTIONNELS VILLA BANDE          	1	3	124	200	750	150000	152497/02           	10629307	Carling Thornham	FL19834	21229290	ZVL 	Vente libre         	20141210	20000	20000	0	40000	0	0	0	0	0	110000	40000	
